Comparing
CDEF=,OmniMech,Primitive,EliteMech,PrototypeMech,ProtoMech,SLDFMech,HeroMech,ClanMech,SocietyMech,
MDEF=,,unit_primitive,unit_elite,unit_prototype,unit_protomech,unit_sldf,unit_hero,,,unit_legendary
===================,headerlines,4
|CONFLICT| ,CDef // MDef, || ,Missing Tag, |Missing in| ,file
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K-DC.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K-DC.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K-DC.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K-DC.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K-DC.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-RS.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-RS.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-RS.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-RS.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-RS.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-RS.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S2.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S2.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S2.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S2.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-S2.json
